exp	wave	emotion	success	length	difficulty
001	001	outrage	False	20	m
001	001	sadness	True	7	e
001	001	happiness	True	5	e
001	001	fear	True	5	m
001	001	love	True	8	m
001	001	aversion	False	20	h
001	001	sadness	True	16	e
001	001	sadness	True	10	e
001	001	anger	True	19	m
001	001	sadness	False	20	e
001	001	melancholy	False	20	h
001	001	anger	True	7	e
001	001	happiness	True	5	e
001	001	resentment	False	20	h
001	001	elation	False	20	h
001	001	confusion	True	11	m
001	001	love	True	7	m
001	001	confusion	True	10	m
001	001	frustration	True	14	h
001	001	infuriation	False	20	h
001	001	quixotic	False	20	h
001	001	resentment	False	20	h
001	001	disgust	True	7	m
001	001	conflicted	False	20	h
001	001	confusion	True	13	m
001	001	anger	True	6	e
001	001	anger	True	7	e
001	001	depression	True	5	h
001	001	envy	True	7	m
001	001	pity	False	20	h
001	002	sadness	True	7	e
001	002	happiness	True	6	e
001	002	jealousy	True	11	m
001	002	excitement	True	6	m
001	002	sadness	True	5	e
001	002	frustration	True	20	m
001	002	happiness	True	5	e
001	002	happiness	True	20	e
001	002	love	True	6	e
001	002	happiness	True	7	e
001	002	contentment	False	20	m
001	002	sadness	True	12	e
001	002	sadness	True	8	e
001	002	excitement	True	4	m
001	002	jealousy	True	19	m
001	002	depression	True	6	d
001	002	happiness	True	9	e
001	002	sadness	True	8	e
001	002	elation	False	20	h
001	002	nervousness	False	20	m
001	002	frustration	True	8	m
001	002	nostalgia	False	20	h
001	002	hatred	False	20	h
001	002	exotic	False	20	h
001	002	distress	False	20	h
001	002	thrill	False	20	m
001	002	anxiety	False	20	h
001	002	love	True	8	e
001	002	suffering	False	20	m
001	002	alienation	False	20	h
001	003	love	True	6	m
001	003	happiness	True	8	e
001	003	happiness	True	7	e
001	003	happiness	True	12	e
001	003	confusion	False	20	m
001	003	embarrassment	False	20	h
001	003	excitement	False	20	m
001	003	fury	True	9	m
001	003	perplexity	False	20	h
001	003	sadness	True	19	e
001	003	enamored	False	20	h
